Notifying Member,Distribution date,Document symbol,Title,Description,Products covered,ICS code(s),Objectives,Keywords,Specific regions or countries likely to be affected,Final date for comments,Notification type,HS code(s),示例,,,,,
China,09/03/2011, G/TBT/N/CHN/792,"National Standard of the P.R.C., City Gas Pressure Regulating Installation","Articles 6.3, 6.4 of this standard are mandatory, the rest are recommended. The mandatory contents are the requirements of strength tests, gas tightness tests for city gas pressure regulating installation.","City gas pressure regulating installation (ICS:  91.140) ;
",91.140 - Installations in buildings,Protection of human health or safety (TBT),,,08/05/2011,Regular notification,,,,,,,
China,03/03/2011, G/TBT/N/CHN/791/Suppl.1,,,,,,,,,Supplement (TBT),,,,,,,
China,03/02/2011, G/TBT/N/CHN/787,"National Standard of the P.R.C., Ship and Ocean Engineering Structural Steel","Chapters 2, 3, 4, Article 6.6.2 and Appendix B of this standard are recommended, the rest ones are mandatory. The mandatory contents are the dimension, shape, weight and tolerance, requirements, inspection and testing, packaging, marking and quality certificate etc. of structural steel for ship and ocean engineering.","Ship and ocean engineering structural steel  ;
ICS:  77.140.50   HS:  7208, 7225 ;
",77.140.50 - Flat steel products and semi-products,Protection of human health or safety (TBT),,,04/04/2011,Regular notification,"7208 - Flat-rolled products of iron or non-alloy steel, of a width >= 600 mm, hot-rolled, not clad, plated or coated; 7225 - Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, hot-rolled or cold-rolled ""cold-reduced""",,,,,,
China,03/02/2011, G/TBT/N/CHN/786,"National Standard of the P.R.C., Quenched and Tempered High Strength Steel Plates for Pressure Vessels","Chapters 2, 3, 4, Articles 5.2.1, 6.1.3, 6.4.4, 6.7 and Appendix A of this standard are recommended, the rest ones are mandatory. The mandatory contents are the dimensions, shapes, technical requirements, test methods, inspection rules, packaging, marking and quality certificate etc. of quenched and tempered high strength steel plates for pressure vessels.","Quenched and tempered high strength steel plates for pressure vessels, ICS 77.140.50, HS:  7208, 7225",77.140.50 - Flat steel products and semi-products,Protection of human health or safety (TBT),,,04/04/2011,Regular notification,"7208 - Flat-rolled products of iron or non-alloy steel, of a width >= 600 mm, hot-rolled, not clad, plated or coated; 7225 - Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, hot-rolled or cold-rolled ""cold-reduced""",,,,,,
China,03/02/2011, G/TBT/N/CHN/782,"National Standard of the P.R.C., Pressure Vessels Part 1:  General Requirements","This standard specifies the general requirements for vessel materials, design, manufacture, inspection and acceptance of the pressure vessels. It applies to the construction of metal pressure vessels.",Pressure vessels ICS:  23.020.30,"23.020.30 - Gas pressure vessels, gas cylinders",Protection of human health or safety (TBT),,,04/04/2011,Regular notification,,,,,,,
China,03/02/2011, G/TBT/N/CHN/784,"National Standard of the P.R.C., Pressure Vessels Part 3: Design","This Standard specifies the design requirements for basic pressed components of pressure vessels.  It is applicable to the design and calculation for cylindrical and spherical shells subjected to internal or external pressure, head covers, openings and their reinforcement, and flanges of pressure vessels.   ;
",Pressure vessels ICS 23:020:30,"23.020.30 - Gas pressure vessels, gas cylinders",Protection of human health or safety (TBT),,,04/04/2011,Regular notification,,,,,,,
China,03/02/2011, G/TBT/N/CHN/783,"National Standard of the P.R.C., Pressure Vessels Part 2: Materials","This standard specifies the steel grades and their standards, additional technical requirements, scope of use (temperature and pressure) and allowable stress for steels permitted to be used in pressed components of pressure vessels.  ;
It is applicable to pressure vessels with design temperature ranging from -253° to 800°, and design pressure is not exceeding 35MPa. ;
",Pressure vessels ICS:  23.020.20,23.020.20 - Vessels and containers mounted on vehicles,Protection of human health or safety (TBT),,,04/04/2011,Regular notification,,,,,,,
China,03/02/2011, G/TBT/N/CHN/788,"National Standard of the P.R.C., Steel Wire Ropes for Ropeways  ;
","Chapters 5, 8, 9 and Articles 6.1, 6.2.1, 6.2.2, 6.2.3, 6.2.4, 6.2.5, 6.2.6, 6.2.8, 6.3, 6.5, 7.1.1, 7.1.4, 7.1.6, 7.1.7, 7.2, 7.3, 7.4, 7.5 of this standard are mandatory, the remaining ones are recommended. The mandatory contents are the related technical indexes and corresponding test methods etc. for wire rope and its materials. ;
",Steel wire ropes for ropeways  ICS: 77.140.65,"77.140.65 - Steel wire, wire ropes and link chains",Protection of human health or safety (TBT); Reducing trade barriers and facilitating trade (TBT),,,04/04/2011,Regular notification,,,,,,,
China,03/02/2011, G/TBT/N/CHN/790,"National Standard of the P.R.C., Fireworks and Firecracker - Black Powder","This standard specifies the classifications, requirements, test methods, inspection rules, package, marking, storage and transportation for black powder used in fireworks and firecrackers.  This standard applies to the production, sale, acceptance and storage of black powder used in fireworks and firecrackers. It doesnt apply to black powder for civil explosive and military gunpowder.",Fireworks and firecrackers ICS:  71.100.30   HS: 36041000,71.100.30 - Explosives. Pyrotechnics and fireworks,Protection of human health or safety (TBT); Reducing trade barriers and facilitating trade (TBT),,,04/04/2011,Regular notification,"3604 - Fireworks, signalling flares, rain rockets, fog signals and other pyrotechnic articles (excl. cartridge blanks)",,,,,,
China,03/02/2011, G/TBT/N/CHN/785,"National Standard of the P.R.C., Pressure Vessels Part 4: Fabrication, Inspection and Testing, and Acceptance","This standard specifies the requirements for fabrication, inspection and testing, and acceptance of steel pressure vessels.  It is applicable to the structures of pressure vessels as follows: single-layer welded pressure vessels, forged-welded pressure vessels, and layered pressure vessels (Including wrapped layered cylindrical segment, wrapped layered cylindrical entirety, flat steel ribbon wound, and shrink fit pressure vessels). ;
",Pressure vessels ICS:  23.020.30,"23.020.30 - Gas pressure vessels, gas cylinders",Protection of human health or safety (TBT),,,04/04/2011,Regular notification,,,,,,,
China,03/02/2011, G/TBT/N/CHN/791,"National Standard of the P.R.C., Fireworks and Firecracker - Whistling Agent Medicament","Article 4.2 of this standard is mandatory, the remaining ones are recommended.  The mandatory contents are the prescribed requirements which should be met by fluted medicament fully mixed with antioxidant.",Fireworks and firecrackers  ICS:  71.100.30  HS:  36041000,71.100.30 - Explosives. Pyrotechnics and fireworks,Protection of human health or safety (TBT); Reducing trade barriers and facilitating trade (TBT),,,04/04/2011,Regular notification,360410 - Fireworks,,,,,,
China,03/02/2011, G/TBT/N/CHN/789,"28112900National Standard of the P.R.C., Arsenic Trioxide ;
","Chapters 4 and 6 of this standard are mandatory, the rest ones are recommended. The mandatory contents are the requirements, marking, packaging, transportation and storage of virulent arsenic trioxide. ;
","Arsenic trioxide, ICS: 71.060",71.060 - Inorganic chemicals,Protection of human health or safety (TBT); Protection of the environment (TBT),,,04/04/2011,Regular notification,"281129 - Inorganic oxygen compounds of non-metals (excl. diphosphorus pentaoxide, oxides of boron, carbon dioxide, silicon dioxide and sulphur dioxide)",,,,,,
China,10/01/2011, G/TBT/N/CHN/776,":  Implementation Rules for Compulsory Certification of Fire Fighting Apparatus - Fire-Resisting Building Component Productsi20pages, in Chinesej","The implementation rules specify the scope, certification model, major processes of certification, general requirements for certification, use of certificates and certification marks, fee-charging, etc.","Fire-resisting building component products - fire resistant window  ;
HS 4418.1090  7308.3000 ;
",,Protection of human health or safety (TBT); Protection of the environment (TBT),,,11/03/2011,Regular notification,"441810 - Windows, frenchwindows and their frames, of wood; 730830 - Doors, windows and their frames and thresholds for doors, of iron or steel",,,,,,
China,10/01/2011, G/TBT/N/CHN/777,"Implementation Rules for Compulsory Certification of Fire Fighting Apparatus - Fire Extinguishing Agents (24pages, in Chinese)","The implementation rules specify the scope, certification model, major processes of certification, general requirements for certification, use of certificates and certification marks, fee-charging, etc.","Fire extinguishing agents                 ;
ICS:                                HS: 3813.0010 ;
",,Protection of human health or safety (TBT); Protection of the environment (TBT),,,11/03/2011,Regular notification,"3813 - Preparations and charges for fire-extinguishers; charged fire-extinguishing grenades (excl. full or empty fire-extinguishing devices, whether or not portable, unmixed chemically undefined products with fire-extinguishing properties in other forms)",,,,,,
China,10/01/2011, G/TBT/N/CHN/779,":  Implementation Rules for Compulsory Certification of Fire Fighting Apparatus - Automatic Sprinkler System and equipments (67 pages, in Chinese)","The implementation rules specify the scope, certification model, major processes of certification, general requirements for certification, use of certificates and certification marks, fee-charging, etc.","Automatic sprinkler system and equipments    ;
ICS:                                   HS: 8424.8999 ;
",13.220.10 - Fire-fighting,Protection of human health or safety (TBT); Protection of the environment (TBT),,,11/03/2011,Regular notification,"842489 - Mechanical appliances, whether or not hand-operated, for projecting, dispersing or spraying liquids or powders, n.e.s.",,,,,,
China,10/01/2011, G/TBT/N/CHN/780,"Implementation Rules for Compulsory Certification of Fire Fighting Apparatus - Fire Hose Products (19pages, in Chinese)","The implementation rules specify the scope, certification model, major processes of certification, general requirements for certification, use of certificates and certification marks, fee-charging, etc.","Fire hose products  ;
ICS:                                     HS: 4009.1200 ;
",,Protection of human health or safety (TBT); Protection of the environment (TBT),,,11/03/2011,Regular notification,"400912 - Tubes, pipes and hoses, of vulcanised rubber (excl. hard rubber), not reinforced or otherwise combined with other materials, with fittings",,,,,,
China,10/01/2011, G/TBT/N/CHN/778,"Implementation Rules for Compulsory Certification of Fire Fighting Apparatus - Foam Extinguishing Systems and Products (46 pages, in Chinese)","The implementation rules specify the scope, certification model, major processes of certification, general requirements for certification, use of certificates and certification marks, fee-charging, etc.","Foam extinguishing systems and products   ;
ICS:                             HS:  8424.8999 ;
",,Protection of human health or safety (TBT); Protection of the environment (TBT),,,11/03/2011,Regular notification,"842489 - Mechanical appliances, whether or not hand-operated, for projecting, dispersing or spraying liquids or powders, n.e.s.",,,,,,
China,10/01/2011, G/TBT/N/CHN/775,"Implementation Rules for Compulsory Certification of Fire Fighting Apparatus - Fire Alarm Device (31 pages, in Chinese)","The implementation rules specify the scope, certification model, major processes of certification, general requirements for certification, use of certificates and certification marks, fee-charging, etc.","Fire alarm products   ;
ICS:                             HS: 8531.9010 ;
",13.220.20 - Fire protection,Protection of human health or safety (TBT); Protection of the environment (TBT),,,11/03/2011,Regular notification,"853190 - Parts of electric sound or visual signalling apparatus, n.e.s.",,,,,,
China,10/01/2011, G/TBT/N/CHN/781,"Implementation Rules for Compulsory Certification of Fire Fighting Apparatus -  Fire Protection Equipments for Fire fighters i19 pages, in Chinesej","The implementation rules specify the scope, certification model, major processes of certification, general requirements for certification, use of certificates and certification marks, fee-charging, etc.","Fire protection equipments for fire fightersiself-contained positive pressure air breathing apparatusj   ;
ICS:HS: 9020.0000  ;
",13.220.10 - Fire-fighting; 13.340.30 - Respiratory protective devices,Protection of human health or safety (TBT); Protection of the environment (TBT),,,11/03/2011,Regular notification,"9020 - Breathing appliances and gas masks (excl. protective masks having neither mechanical parts nor replaceable filters, and artificial respiration or other therapeutic respiration apparatus)",,,,,,
China,17/12/2010, G/TBT/N/CHN/763/Suppl.1,,,,,,,,,Supplement (TBT),,,,,,,
China,17/12/2010, G/TBT/N/CHN/774,"National Standard of the P.R.C., Telematics Control Unit for Monitoring Safety of On-Road Vehicle Transportation of Dangerous Goodsi19 pages, in Chinesej","Articles 4.2, 4.3.1, 4.4 and Chapter 6 of this standard are mandatory, the rest ones are recommended. The mandatory contents are the performance requirements, basic functions, test rules and environmental requirements for telematics control unit used to monitor safety of on-road vehicle transportation of dangerous goods. ;
This standard applies to telematics control unit with global position system and wireless mobile communication technologies for monitoring safety of on-road vehicle transportation of dangerous goods. ;
","Electronic device ;
ICS: 13.320                       HS: 8526 ;
",13.320 - Alarm and warning systems,Protection of human health or safety (TBT); Protection of the environment (TBT),,,15/02/2011,Regular notification,"8526 - Radar apparatus, radio navigational aid apparatus and radio remote control apparatus",,,,,,
China,10/12/2010, G/TBT/N/CHN/756/Corr.1,Please be informed that the Standard notified in G/TBT/N/CHN/756 was already notified in G/TBT/N/CHN/688.  Therefore the notification G/TBT/N/CHN/756 has been withdrawn.,,"Vehicles of category M1 - ICS:  43.040.60 ;
",43.040.60 - Bodies and body components,,,,,Corrigendum to Regular Notification,,,,,,,
China,23/11/2010, G/TBT/N/CHN/772/Suppl.1,,,,,,,,,Supplement (TBT),,,,,,,
China,23/11/2010, G/TBT/N/CHN/749/Suppl.1,,,,,,,,,Supplement (TBT),,,,,,,
China,29/10/2010, G/TBT/N/CHN/765,"National Standard of the P.R.C., Mobile Road Construction Machinery - Common Safety Requirements (33 pages in Chinese).","Chapter 3, Article 5.17 and Appendix F of this standard are recommended, the rest ones are mandatory. The mandatory contents are the common safety requirements for mobile road construction machinery.","Mobile road construction machinery;  ICS 91.220;   HS 8430 ;
",91.220 - Construction equipment,Protection of human health or safety (TBT),,,28/12/2010,Regular notification,"8430 - Moving, grading, levelling, scraping, excavating, tamping, compacting, extracting or boring machinery, for earth, minerals or ores; pile-drivers and pile-extractors; snow-ploughs and snow-blowers (excl. those mounted on railway wagons, motor vehicle chassis or lorries, self-propelled machinery of heading 8429, lifting, handling, loading or unloading machinery of heading 8425 to 8428 and hand-operated tools)",,,,,,
China,29/10/2010, G/TBT/N/CHN/770,"National Standard of the P.R.C., Fuel Consumption Evaluation Methods and Targets for Passenger Cars (12 pages in Chinese). ;
","Chapters 4, 5, 6, 7 and 8 of this standard are mandatory, the rest ones are recommended. The mandatory contents are the evaluation methods and targets for fuel consumption of passenger cars and average fuel consumption of enterprises","Passenger cars;  ICS 43.020 ;
",43.020 - Road vehicles in general,Protection of the environment (TBT),,,28/12/2010,Regular notification,,,,,,,
China,29/10/2010, G/TBT/N/CHN/767,"National standard of the P.R.C., Garden Machinery - Pedestrian-Controlled Lawnmower with a PetroliDieseljEngine - Safety Requirements and Testing Methods (46 pages in Chinese).","This standard specifies the terms and definitions, safety technical requirements and test methods, instructions and signs of pedestrian-controlled lawnmower with petrol (diesel) engine.","Pedestrian-controlled lawnmower;  ICS 65.060.70;  HS 8433 ;
",65.060.70 - Horticultural equipment,Protection of human health or safety (TBT),,,28/12/2010,Regular notification,"8433 - Harvesting or threshing machinery, incl. straw or fodder balers; grass or hay mowers; machines for cleaning, sorting or grading eggs, fruit or other agricultural produce; parts thereof (other than machines for cleaning, sorting or grading seed, grain or dried leguminous vegetables of heading 8437)",,,,,,
China,29/10/2010, G/TBT/N/CHN/772,"National Standard of the P.R.C., The General Safety Regulations of Elasticity Pressure Gauge(5 pages in Chinese).","Article 2.4 of this standard is recommended, the rest ones are mandatory. The mandatory contents are the perfomance requirements, test methods and determine rules for ensuring the safety use of elasticity pressure gauge.","Elasticity pressure gauge;  ICS 17.100;  HS: 9026 ;
","17.100 - Measurement of force, weight and pressure",Protection of human health or safety (TBT),Metrology,,28/12/2010,Regular notification,"9026 - Instruments and apparatus for measuring or checking the flow, level, pressure or other variables of liquids or gases, e.g. flow meters, level gauges, manometers, heat meters (excl. instruments and apparatus of heading 9014, 9015, 9028 or 9032)",,,,,,
China,29/10/2010, G/TBT/N/CHN/769,"National Standard of the P.R.C., Restraining Devices for Child Occupants of Power-Driven Vehicles ((99 pages in Chinese).","Chapters 4, 5, 8 and 9 of this standard are mandatory, the rest ones are recommended. The mandatory contents are the requirements for installation and fixing, structure, as well as performance requirements and test methods for restraint systems and their components.",Restraining devices for child occupants of power-driven vehicles;  ICS 43.040.60,43.040.60 - Bodies and body components,Protection of human health or safety (TBT),,,28/12/2010,Regular notification,,,,,,,
China,29/10/2010, G/TBT/N/CHN/771,"National Standard of the P.R.C., Specifications for the Flame Proof of Industrial Thermocouples and Resistance Thermometer Sensors(12 pages in Chinese).","This standard specifies the technical requirements of flame proof, test methods, inspection rules, packaging and storage for industrial thermocouples and resistance thermometer sensors used in explosive atmospheres. ;
   This standard applies to the industrial thermocouples and resistance thermometer sensors  used in explosive atmospheres at environmental temperature between -20  and +60 . ;
","Industrial thermocouples and resistance thermometer sensors;  ICS 17.200.20;  HS 90251910 ;
",17.200.20 - Temperature-measuring instruments,Protection of human health or safety (TBT),,,28/12/2010,Regular notification,"902519 - Thermometers and pyrometers, not combined with other instruments (excl. liquid-filled thermometers for direct reading)",,,,,,
China,29/10/2010, G/TBT/N/CHN/766,"National Standard of the P.R.C., Mobile Road Construction Machinery - Safety Requirements for Paver-Finishers(21 pages in Chinese).","Chapters 3 and 4, Article 5.16 and Appendix D of this standard are recommended, the rest ones are mandatory. The mandatory contents are the safety requirements for the paver-finishers.",Mobile road construction machinery;  ICS 91.220;  HS 8430,91.220 - Construction equipment,Protection of human health or safety (TBT),,,28/12/2010,Regular notification,"8430 - Moving, grading, levelling, scraping, excavating, tamping, compacting, extracting or boring machinery, for earth, minerals or ores; pile-drivers and pile-extractors; snow-ploughs and snow-blowers (excl. those mounted on railway wagons, motor vehicle chassis or lorries, self-propelled machinery of heading 8429, lifting, handling, loading or unloading machinery of heading 8425 to 8428 and hand-operated tools)",,,,,,
China,29/10/2010, G/TBT/N/CHN/768,"National standard of the P.R.C., Reciprocating Internal Combustion Engines-Limit Values of Emitted Airborne Noise (6 pages in Chinese).",This standard specifies the limit values of airborne noise emitted from reciprocating internal combustion engines under standard operating conditions.,"Reciprocating internal combustion engines;  ICS 27.020;  HS 8407, 8408 ;
",27.020 - Internal combustion engines,Protection of human health or safety (TBT); Protection of the environment (TBT),,,28/12/2010,Regular notification,"8408 - Compression-ignition internal combustion piston engine ""diesel or semi-diesel engines""; 8407 - Spark-ignition reciprocating or rotary internal combustion piston engine",,,,,,
China,29/10/2010, G/TBT/N/CHN/764,"National standard of the P.R.C., Rapid Prototyping Machines - Technical Requirements for Safety (12 pages, in Chinese).","Chapters 5, 6 and 7 of this standard are mandatory, the rest ones are recommended. The mandatory contents are the safety requirements and measures, operational information and security inspections of RP machines.","Rapid prototyping machines;  ICS 25.080.99;  HS 8456 ;
",25.080.99 - Other machine tools,Protection of human health or safety (TBT),,,28/12/2010,Regular notification,"8456 - Machine-tools for working any material by removal of material, by laser or other light or photon beam, ultrasonic, electro-discharge, electro-chemical, electron beam, ionic-beam or plasma arc processes (excl. cleaning apparatus operated by ultrasonic processes, soldering and welding machines, incl. those which can be used for cutting, and material testing machines)",,,,,,
China,29/10/2010, G/TBT/N/CHN/763,"National Standard of the P.R.C., Specification for Minimal Thickness of the Shell of Valves (18 pages, in Chinese )","Chapter 2, Articles 3.1.2, 3.1.5, 4.3 and Appendix A of this standard are recommended, the rest ones are mandatory. The mandatory contents are the shell thickness requirements for ball valve, butterfly valve, gate valve, globe valve, check valve, plug valve and diaphragm valve and so on which are made of iron and steel.","iron and steel made ball valve, butterfly valve, gate valve, globe valve, check valve, plug valve and diaphragm valve and so on   ;
ICS: 23.060.01   HS: 8481 ;
",23.060.01 - Valves in general,Other (TBT),,,28/12/2010,Regular notification,"8481 - Taps, cocks, valves and similar appliances for pipes, boiler shells, tanks, vats or the like, incl. pressure-reducing valves and thermostatically controlled valves; parts thereof",,,,,,
China,29/10/2010, G/TBT/N/CHN/773,"Industry Standard of the P.R.C., Household and Similar Electrical AppliancesSafetyParticular Requirements for Hot and Cold Drinking Water Dispenser(18 pages in Chinese).",This standard specifies the safety requirements for hot and cold drinking water dispenser.,"Hot and cold drinking water dispenser for household and similar use;  ICS 13.120 ;
",13.120 - Domestic safety,Protection of human health or safety (TBT),,,28/12/2010,Regular notification,,,,,,,
China,25/10/2010, G/TBT/N/CHN/762,"National standard of the P.R.C., Garden Machinery - Ride-on Machines with Lawn Mowers - Safety Requirements and Testing ( 55 pages, in Chinese)","This standard specifies the terms and definitions, safety requirements and test methods, maintenance, instructions and signs of ride-on machines with lawn mowers using petrol (diesel) engine and controlled directions by operators through joystick or steering wheel.","Ride-on machines with lawn mowers ;
ICS: 65.060.70                     HS: 8433 ;
",65.060.70 - Horticultural equipment,Protection of human health or safety (TBT),,,24/12/2010,Regular notification,"8433 - Harvesting or threshing machinery, incl. straw or fodder balers; grass or hay mowers; machines for cleaning, sorting or grading eggs, fruit or other agricultural produce; parts thereof (other than machines for cleaning, sorting or grading seed, grain or dried leguminous vegetables of heading 8437)",,,,,,
China,25/10/2010, G/TBT/N/CHN/761,"National Standard of the P.R.C., Building Construction Machinery and Equipment - Safety Requirements of Drill Rigsi58 pages, in Chinesej","Chapters 5C6 and 7 of this standard are mandatory, the rest ones are recommended. The mandatory contents are the safety requirements and measures,   measures verification and provisions of sign for drill rigs.","Drill rigs  ;
ICS:91.220                   HS: 8430 ;
",91.220 - Construction equipment,Protection of human health or safety (TBT),,,24/12/2010,Regular notification,"8430 - Moving, grading, levelling, scraping, excavating, tamping, compacting, extracting or boring machinery, for earth, minerals or ores; pile-drivers and pile-extractors; snow-ploughs and snow-blowers (excl. those mounted on railway wagons, motor vehicle chassis or lorries, self-propelled machinery of heading 8429, lifting, handling, loading or unloading machinery of heading 8425 to 8428 and hand-operated tools)",,,,,,
China,25/10/2010, G/TBT/N/CHN/760,"National Standard of the P.R.C., Conveying, Spraying and Placing Machines for Concrete and Mortar - Safety Requirementsi47 pages, in Chinesej","Articles 5.1.1C5.1.2C5.1.3C5.1.4C5.3.1.1C5.3.1.2C5.3.1.4C5.3.1.5C5.3.1.6C5.3.1.7C5.3.2.1C5.3.2.2C5.3.2.3C5.3.2.4C5.3.2.6C5.3.2.7C5.3.3.1C5.3.3.2C5.3.3.3C5.3.3.4C5.3.4 and 5.4 of this standard are mandatory, the rest ones are recommended. The mandatory contents are the safety requirements and protective measures for conveyingCspraying and placing machines of concrete and mortar.","Conveying, spraying and placing machines for concrete and mortar ;
ICS: 91.220                    HS: 8424, 8705 ;
",91.220 - Construction equipment,Protection of human health or safety (TBT),,,24/12/2010,Regular notification,"8424 - Mechanical appliances, whether or not hand-operated, for projecting, dispersing or spraying liquids or powders, n.e.s.; fire extinguishers, charged or not (excl. fire-extinguishing bombs and grenades); spray guns and similar appliances (excl. electric machines and apparatus for hot spraying of metals or sintered metal carbides of heading 8515); steam or sand blasting machines and similar jet projecting machines; parts thereof, n.e.s.; 8705 - Special purpose motor vehicles (other than those principally designed for the transport of persons or goods), e.g. breakdown lorries, crane lorries, fire fighting vehicles, concrete-mixer lorries, road sweeper lorries, spraying lorries, mobile workshops and mobile radiological units",,,,,,
China,21/10/2010, G/TBT/N/CHN/140/Rev.1,"""Administration on the Control of Pollution Caused by Electrical and Electronic Products"" (11 pages, in Chinese).","After more than three years of implementing the Administration on the Control of Pollution Caused by Electronic Information Products"", the Ministry of Industry and Information Technology together with other relevant agencies of the State Council is jointly revising it so as to adapt to the development needs of new situations. The revision will continue to set limitations on six categories of lead, mercury, cadmium, hexavalent chromium, polybrominated biphenyls and polybrominated diphenyl ethers. The important modifications are listed as follows:  ;
1.	The scope of this rule will be extended from electronic information product to electrical and electronic product, thus the title of the rule will be revised as the Administration on the Control of Pollution Caused by Electrical and Electronic Products. The definition of electrical and electronic product means the equipment and its supporting products with a voltage rating not exceeding 1500 volts for alternating current and 1000 volts for direct current. ;
 ;
2.	In order to encourage producers to substitute and reduce the use of toxic and hazardous substances, the title of Key Management Catalogue for the Control of Pollution caused by Electronic Information Products will be revised as Management Catalogue of Standard-Reaching for the Control of Pollution caused by Electrical and Electronic Products. ;
 ;
3.	The former rule requires the electronic information products listed in the Key Catalogue should be subject to compulsory product certification, and it will be revised as  the electrical and electronic products listed in the Management Catalogue will be subject to certification according to the national certification system for the control of pollution caused by electrical and electronic product. ;
 ;
4.	In respect of the joint ministerial cooperation mechanism, the Ministry of Finance and the Ministry of Science and Technology will be added to the Coordination Working Group.  ;
The revised Administration on the Control of Pollution Caused by Electrical and Electronic Products has four chapters with twenty nine articles. ;
",Electrical and electronic product ( equipment and its supporting products with voltage rating not exceeding 1500 volts for alternating current and 1000 volts for direct current),13.030 - Wastes,Protection of the environment (TBT),,,20/12/2010,Revision to Regular Notification,,,,,,,
China,21/10/2010, G/TBT/N/CHN/754,"National Standard of the P.R.C., Motor Vehicles-Hood Latch System (6 pages, in Chinese)","This standard specifies the requirements for hood latch system of motor vehicles. This standard applies to category M, N vehicles.","Motor vehicle-category M, N - ICS:  43.040.60 ;
",43.040.60 - Bodies and body components,,,,20/12/2010,Regular notification,,,,,,,
China,21/10/2010, G/TBT/N/CHN/758,"National Standard of the P.R.C., Safety of Toys-Experimental Sets for Chemistry and Related Activitiesi12 pages, in Chinesej",": This standard specifies the certain dangerous chemical substances and preparations that can be used in experimental toys sets for chemistry and related activities and the maximum amount of theirs. It also specifies the requirements for marking, contents list, instructions for use and equipment intended for carrying out the experiments. ;
  This standard applies to chemical experiment toy sets and attachments.  ;
","Toys - ICS:  97.200.50;   HS:  9503 ;
",97.200.50 - Toys,Protection of human health or safety (TBT),,,20/12/2010,Regular notification,"9503 - Toys (excl. wheeled toys designed to be ridden by children, dolls' carriages and dolls representing only human beings); reduced-size ""scale"" recreational models, working or not; puzzles of all kinds",,,,,,
China,21/10/2010, G/TBT/N/CHN/756,"National Standard of the P.R.C., Roof Crush Resistance of Passenger Cars ( 6 pages, in Chinese).",This standard establishes the strength requirements for passenger cars compartment roof.,"Vehicles of category M1 - ICS:  43.040.60 ;
",43.040.60 - Bodies and body components,,,,20/12/2010,Regular notification,,,,,,,
China,21/10/2010, G/TBT/N/CHN/759,"National Standard of the P.R.C., Steel Nails (40 pages, in Chines).","Articles 6.5.2, 6.5.3 and 6.6 of this standard are mandatoryCthe rest ones are recommended.  The mandatory contents are the requirements for hardness and bend toughness of the heat treated steel nails and the requirement of nail net content etc. .","Steel nails - ICS:  21.060.50 ;
","21.060.50 - Pins, nails",Protection of human health or safety (TBT),,,20/12/2010,Regular notification,,,,,,,
China,21/10/2010, G/TBT/N/CHN/755,"National Standard of the P.R.C., The Protection of the Occupants of the Cab of a Commercial Vehicle (19 pages, in Chinese)",This standard specifies the requirements and test methods for  protecting occupants in the cab of a commercial vehicle.,"Commercial vehicle - ICS:  43.020 ;
",43.020 - Road vehicles in general,Protection of human health or safety (TBT),,,20/12/2010,Regular notification,,,,,,,
China,21/10/2010, G/TBT/N/CHN/753,"National Standard of the P.R.C., The Wheel Guards of Motor Vehicles ( 7 pages, in Chinese).",This standard specifies the technical conditions for wheel guards of motor vehicles.  This standard applies to motor vehicle-category M1.,"Motor vehicle-category M1 - ICS:  43.040.60 ;
",43.040.60 - Bodies and body components,Protection of human health or safety (TBT),,,20/12/2010,Regular notification,,,,,,,
China,21/10/2010, G/TBT/N/CHN/757,"National Standard of the P.R.C., Safety Specifications of Line Regulators Used in Welding, Cutting and Allied Processesi7 pages, in Chinesej","This standard specifies the performance requirementsCmaterial requirements, test methods and inspection rules for ensuring the safety use of line regulators used in welding, cutting and similar technology.","line regulators normally used for compressed gas to regulate the pressure at the outlet of high-pressure lines   ;
ICS: 17.100                     HS: 9026 ;
","17.100 - Measurement of force, weight and pressure",Protection of human health or safety (TBT),,,20/12/2010,Regular notification,"9026 - Instruments and apparatus for measuring or checking the flow, level, pressure or other variables of liquids or gases, e.g. flow meters, level gauges, manometers, heat meters (excl. instruments and apparatus of heading 9014, 9015, 9028 or 9032)",,,,,,
China,20/10/2010, G/TBT/N/CHN/747,"National Standard of the P.R.C., Cigars-Part 2:  Marki6 pages, in Chinese).","Articles 4.1.1, 4.1.2, 4.1.3, 4.1.4, 4.1.6, 4.1.7, 4.1.9, 4.2.1, 4.2.4, 4.2.5, 4.2.7 and 4.3 of this standard are mandatory, the rest ones are recommended.  ;
The mandatory contents stipulate the requirements of cigar package marking. ;
","Cigars, ICS:  65.160","65.160 - Tobacco, tobacco products and related equipment",Prevention of deceptive practices and consumer protection (TBT),Labelling,,19/12/2010,Regular notification,,,,,,,
China,20/10/2010, G/TBT/N/CHN/749,"National Standard of the P.R.C., Cigars-Part 4:  Technical Requirements for Sense Evaluation (7 pages, in Chinese).","Article 4.3 of this standard is mandatory, the rest ones are recommended. The mandatory content is one of the cigar technical requirements: it should not appear obvious strange smell or mildew changes.","Cigars, ICS:  65.160 ;
","65.160 - Tobacco, tobacco products and related equipment",Prevention of deceptive practices and consumer protection (TBT),,,19/12/2010,Regular notification,,,,,,,
